01	1	00:00:39,660	00:00:43,714	世界を…　不幸のもとへ!!
01	2	00:00:43,714	00:00:48,736	愛・勇気…
01	2	00:00:43,714	00:00:48,736	やさしさ・幸せ…
01	3	00:00:48,736	00:00:51,722	すべては幻よ!!
01	4	00:00:51,722	00:00:56,877	幻影帝国臣民よ！
01	4	00:00:51,722	00:00:56,877	愚かなるプリキュアをたおし
01	5	00:00:56,877	00:01:01,932	この世界の未来を
01	5	00:00:56,877	00:01:01,932	最悪なものに　かえるのよ!!
01	6	00:01:01,932	00:01:06,837	このクイーンミラージュの
01	6	00:01:01,932	00:01:06,837	思いどおりの世界に!!
01	7	00:01:06,837	00:01:11,842	（一同　歓声）
01	8	00:01:11,842	00:01:14,328	（キュアプリンセス）ニャーーー！
01	9	00:01:14,328	00:01:17,931	エイ！
01	9	00:01:14,328	00:01:17,931	サイアーク！
01	10	00:01:17,931	00:01:22,231	アッ！　フッ！　ワッ！
01	10	00:01:17,931	00:01:22,231	ウワーー！
01	11	00:01:23,220	00:01:27,424	あいかわらず　にげ足だけは
01	11	00:01:23,220	00:01:27,424	すばらしいですな
01	12	00:01:27,424	00:01:30,544	プリンセス　にげてばかりじゃ
01	12	00:01:27,424	00:01:30,544	ダメですわ
01	13	00:01:30,544	00:01:34,565	サイアークにされた人も
01	13	00:01:30,544	00:01:34,565	ナマケルダにかえられた世界も
01	14	00:01:34,565	00:01:38,535	もとに　もどせませんことよー！
01	15	00:01:38,535	00:01:41,588	わ…　分かってるわよ！
01	16	00:01:41,588	00:01:47,761	プリンセス　弾丸マシンガン！
01	17	00:01:47,761	00:01:50,061	ハァーー！
01	18	00:01:52,583	00:01:54,284	やりましたわ！
01	19	00:01:54,284	00:01:59,756	全戦全敗のプリンセスが
01	19	00:01:54,284	00:01:59,756	ついに勝ちましたわ！
01	20	00:01:59,756	00:02:02,926	（リボン・プリンセス）えっ…
01	20	00:01:59,756	00:02:02,926	サイアーク！
01	21	00:02:02,926	00:02:07,247	（プリンセス・リボン）ウワワ…
01	21	00:02:02,926	00:02:07,247	ギャッ！
01	22	00:02:07,247	00:02:09,547	トドメをさせ
01	23	00:02:10,984	00:02:12,653	ひめ！　ひめ！
01	24	00:02:12,653	00:02:16,573	（白雪ひめ）ウワッ！
01	24	00:02:12,653	00:02:16,573	（ひめ・リボン）アアーーーー！
01	25	00:02:16,573	00:02:18,573	ひめーー！
01	26	00:02:22,896	00:02:27,896	なかなかナイスなキックだ
01	26	00:02:22,896	00:02:27,896	キュアフォーチュン!?
01	27	00:02:32,372	00:02:35,759	（キュアフォ－チュン）ハァーーー！
01	27	00:02:32,372	00:02:35,759	タァーーー！
01	28	00:02:35,759	00:02:40,197	サイアーク！
01	29	00:02:40,197	00:02:46,097	フォーチュン　スターバースト！
01	30	00:02:48,071	00:02:50,991	何をしている　早く立て！
01	31	00:02:50,991	00:02:54,591	そろそろ決めるんだぜ
01	31	00:02:50,991	00:02:54,591	ＯＫ！　ぐらさん
01	32	00:02:57,097	00:03:02,997	星の光を聖なる力に
01	32	00:02:57,097	00:03:02,997	ラブプリブレス！
01	33	00:03:04,238	00:03:12,162	プリキュア
01	33	00:03:04,238	00:03:12,162	スターダスト　シュート！
01	34	00:03:12,162	00:03:19,102	♪♪～
01	35	00:03:19,102	00:03:23,290	星よ　天に帰れ！
01	36	00:03:23,290	00:03:25,890	ゴクラーク！
01	37	00:03:29,363	00:03:32,766	キュアフォーチュン
01	37	00:03:29,363	00:03:32,766	次は　こうはいかないよ
01	38	00:03:32,766	00:03:35,736	さらば！
01	39	00:03:35,736	00:03:39,189	（女性）助けてくれて　ありがとう
01	39	00:03:35,736	00:03:39,189	キュアフォーチュン
01	40	00:03:39,189	00:03:42,559	幻影帝国は
01	40	00:03:39,189	00:03:42,559	心のスキをついてくるわ
01	41	00:03:42,559	00:03:47,798	気をつけるんだぜ
01	41	00:03:42,559	00:03:47,798	はい　がんばります！
01	42	00:03:47,798	00:03:49,483	ウヌッ！
01	43	00:03:49,483	00:03:53,537	これは　かっこいい笛の
01	43	00:03:49,483	00:03:53,537	パワーを感じるぜ
01	44	00:03:53,537	00:03:56,623	ハッ　ハッ…
01	44	00:03:53,537	00:03:56,623	こしょこしょ　してくれ
01	45	00:03:56,623	00:03:59,960	（フォーチュン）
01	45	00:03:56,623	00:03:59,960	こしょこしょ　こしょこしょ
01	45	00:03:56,623	00:03:59,960	アハハハハ…
01	46	00:03:59,960	00:04:02,060	ハーピション！
01	47	00:04:05,782	00:04:10,582	これで　また
01	47	00:04:05,782	00:04:10,582	大いなる願いに近づいたぜ
01	48	00:04:12,222	00:04:18,412	あの…　フォーチュン
01	48	00:04:12,222	00:04:18,412	助けてくれて　ありがとう
01	49	00:04:18,412	00:04:22,012	かんちがいしないで！
01	49	00:04:18,412	00:04:22,012	えっ！
01	50	00:04:23,967	00:04:26,637	わたしは　あなたを
